Emotion,Score (bin),Testflag,Id,Tweet,Number of Records
anger,0.55,train,10276,@DanRather What King says doesn't matter. The fact he came w/ psycho Don is by far more of an affront.,1
anger,0.80,train,10108,@DarkLuneFantasy wallah my blood is boiling I need to take a nap ugh,1
anger,0.50,train,10322,"@Darren_Hammer amen, nothing personal mate, just tired of all of the complaining from our fans, it's Been a relentless tirade of misery",1
anger,0.65,train,10135,@dcexaminer Democrats and their voters have zero tolerance for honesty. They associate honesty with anger and hate.,1
anger,0.50,train,10311,@Deadspin @jrzy_boy This is about him being left off because they wanted to play a heavier game. We needed his offense tho. Amongst others.,1
anger,0.40,train,10566,@DeltaDomain @SawDraze @qurions dis dat nigga from fume right?,1
anger,0.50,train,10187,@deshbhakthoon always unhappy and easily offended.,1
anger,0.60,train,10174,@Disneyland #nothappy and still #charging the #fullprice 😡😡 #fuming some your #bestrides 😳😳,1
anger,0.50,train,10342,@djddueces jojo at 12:30 and not midnight lets rage WRYYYYYY,1
anger,0.45,train,10525,@DL_Hart @DonnieDollars @AaronBiggsPro @WWENoWayJose @cwfmidatlantic How did that chop feel? You still feel the sting of it? Looks brutal!,1
anger,0.35,train,10677,@dlrwills turn that frown upside down buddy 🙃.,1
anger,0.25,train,10794,@DMAnthonyJoseph @TheClumpany No grudge. Only truth in abundance.,1
anger,0.40,train,10564,@Docjp they unleashing God's wrath just as Cain did,1
anger,0.40,train,10585,"@donna_bellav @SoniaRayS @gig_aholic He looks especially lovely. Sadly, I do not *removes potentially indignant Mr D from convo*",1
anger,0.50,train,10310,"@DouthatNYT @jbouie @DamonLinker Yes, it is bad to point out racism lest it provoke the racists.  Some racists do indeed not like it.",1
anger,0.45,train,10464,@DRUDGE_REPORT @FoxNews good thing the FBI didn't offend them!,1
anger,0.50,train,10330,@eNCA what they should be doing is directing their anger to the thieves in government...#corruption #FeesMustFall,1
anger,0.15,train,10825,"@ezlisteningdisc it doesn't offend me but it's just,,, Weird.",1
anger,0.40,train,10589,"@feistyarcher -trouble,' he feigned anger and gave her a look that told her to behave. He knew she wouldn't though, and that was one of -",1
anger,0.50,train,10338,@fireemblemlord it's the first expac since wrath that feels like a proper 'evolution' of the game for me,1
anger,0.85,train,10080,@firstleeds not only are your buses unreliable your e ticket app is too unable to get on two buses and late for work #fuming #useless reply,1
anger,0.45,train,10507,"@fleetstreetfox It's buzzing pathetically for sympathy if you let it out it will twirl it's moustache, chuckle and sting you #Psychowasp",1
anger,0.65,train,10120,@FoxNews @SheriffClarke @FoxNewsInsider This man is an affront to our justice system.,1
anger,0.45,train,10436,@Freepenalties @TMortimerFtbl Doll is a vile creature on the touchline. Every game he has tantrums &amp; shouts at the ref. Would love to see,1
anger,0.25,train,10784,"@FrizzeyesJr meeee, i'm lvl 320 and i have not a single relentless",1
anger,0.65,train,10136,@gerfingerpoken #rage?? The #CrookedCourt said #rage MANY times to explain away the brutal killings of #Petits by #Hayes &amp; #Komisarjevsky,1
anger,0.75,train,10036,@ggreenwald @SusanSarandon We are blaming 5% of the fucking idiots who are putting the World in the middle of their tantrums. You are one.,1
anger,0.50,train,10357,@girlsreallyrule Both Trump + King are relentless self-promoters who don't give a rip about anyone else. A perfect match for both Donalds.,1
anger,0.35,train,10658,"@GreyTheTick But even if I jumped through that hoop, it just takes one irate netizen to decide me playing by 'the rules' isn't enough.",1
anger,0.45,train,10430,@GriffinBowie23 @AliMcClimond sorry to #offend u griffin!!,1
anger,0.65,train,10123,@GroupAnon black armed thug with a record carrying gun illegally gets shot by black cop. #outrage   This is a joke.Let em destroy their town,1
anger,0.60,train,10194,@GrxjicTank WHY though! Why did u want to offend Americans?,1
anger,0.45,train,10426,"@healeyraine I'm offended, I actually am",1
anger,0.50,train,10379,"@HebertofNH any time a man who got paid to throw temper tantrums speaks up, you gotta listen.",1
anger,0.45,train,10496,@HillaryClinton Yeah U gotta make them HEEL. I know U need their votes so U have to wait. But when U LOSE-they're really in for your wrath !,1
anger,0.50,train,10086,@hollyrobinson__ Part 2-was buzzing for a cheeky squashie or two-this was NOT what i expected.SORT IT OUT! #food #angry  @coopuk @coopukfood,1
anger,0.50,train,10254,@Hoopdawg87 @MickThePerm Meanwhile white cops keep killing black people. But there's less outrage about that. Strange society that.,1
anger,0.40,train,10551,@hoytschile fury road!!,1
anger,0.45,train,10509,@HuffPostUK  NO greater wrath than a woman scorned.,1
anger,0.50,train,10397,"@iamsrk what's up w the gender bias? #indignant This fancypants saddler's daughter will opt for the leather jacket, thank you very much.",1
anger,0.50,train,10312,@Idubbbz @LeafyIsHere  I am offended,1
anger,0.30,train,10776,@ImpugnValkyrie *I frown and cup your cheeks in my hands after you step aside.* Angela I care about you. And I don't know how else I can -,1
anger,0.45,train,10450,"@IndigoHawthorne Then u understand that rage is often not pretty, or controlled or rational - it is often visceral-not always logical.",1
anger,0.50,train,10314,@IrishTimesPol @IrishTimes Irish citizens boiling drinking water in 2016 leaves one foot firmly in the bog!,1
anger,0.40,train,10536,"@iStoleFreeHugs @stephlaris lol I'm happy with my negative, realistic ass self. Sorry to offend you",1
anger,0.05,train,10853,@jaaames1993 Literally burst out laughing.,1
anger,0.25,train,10733,@jamiesonhelen @MarianKeyes all three of my agin's on the pout .,1
anger,0.15,train,10832,@JaredLeto Jared + #snap? 💘,1
anger,0.35,train,10623,"@jaybusbee Well, not Archie. No offense but he's kinda old.",1
anger,0.40,train,10590,@JBCrewdotcom how his own fans insult him,1
anger,0.70,train,10110,"@jennylhowe I am angry at the student for being a racist, and the teacher for not stopping it, and at the class for letting it go by.",1
anger,0.20,train,10582,@jessebwatters lol. Love it when you aggravate Juan. Keep up the good work. Lol,1
anger,0.25,train,10787,@jetmissTee I thought I peeped him on your snap. That's the homie ✊🏽 lol,1
anger,0.35,train,10683,@JoeGoodmanJr. A solution. But the assumptions by media in articles and every other venue causes animosity to the conversation.,1
anger,0.45,train,10431,@JohnKerry can be as indignant as he wants but the world knows Obama will do nothing and Putin will just do what he wants #Aleppo #Syria,1
anger,0.35,train,10748,@JOjojosiejay or in my case a raging moody cow lol why i buy moody cow socks lol,1
anger,0.35,train,10611,@josephperson Cam is still rattled from the backlash he received when he made the black QB comment and suffered the wrath of White America.,1
anger,0.75,train,10059,@JrDingy96 Ikr people still got a grudge against him for no reason like wtf?!,1
anger,0.40,train,10583,@judahandthelion TONIGHT. Legit can't wait to rage 🤘🏻🤘🏻🤘🏻🤘🏻🤘🏻🔥,1
anger,0.60,train,10222,@judy_that Im honestly offended,1
anger,0.30,train,10757,@justinbieber Thank u Justin for this amazing concert. I can't believe that only u can provoke these thousand smiles these night#BelieveTour,1
anger,0.20,train,10640,@JustinRow10 dude the new madden 17? Haha,1
anger,0.35,train,10675,@JustPyroNow are you gonna do any kind of community raids when wrath of the machine drops?,1
anger,0.70,train,10078,"@justyne_haley it does. if one person ruins season 13 for me, I will be so angry",1
anger,0.30,train,10728,@kateracculia @themathofyou It's true! I reverse-engineered the drink. It's a scientific method. I hear it's all the rage.,1
anger,0.75,train,10054,@KatzeAnilothei this amount of greedy mooching makes me snarl.,1
anger,0.50,train,10374,@keithboykin unfortunately it won't end there... followers of whichever candidate isn't elected will throw tantrums. No winning this elec,1
anger,0.45,train,10510,@kencurtin they might get Donal óg sure! They won't have him in cork as he's to fiery for dopey frank &amp; his cult,1
anger,0.50,train,10413,@kerrybowen_ you have anger issues!,1
anger,0.40,train,10580,"@KevinI @GGGBoxing @SpecialKBrook pretty average, klitschko fury did about 600k and Joshua white did about 450k",1
anger,0.50,train,10348,@KimLy resent,1
anger,0.25,train,10804,@KingNicky7 also madden isn't the funniest game to watch and if there isn't much happening it's boring,1
anger,0.70,train,10104,@kingvee_ don't provoke me to anger,1
anger,0.45,train,10494,"@kitanoye Hell is hot and boiling, isi ewu",1
anger,0.30,train,10753,"@Klipto the orange one is #poisonous and #bitter. You shouldn't judge the #blue one by how it looks but by how it tastes, #delicious.",1
anger,0.30,train,10729,@KodieBurch yesss..apparently you've been popular on snap 🙄,1
anger,0.35,train,10707,@l1ght__eyes u tried boiling em takes years too,1
anger,0.45,train,10454,@LaraTheIrish &lt; feel everything. She would remember everything. Evanora hoped this would serve to fuel the creatures anger and run rabid &gt;,1
anger,0.50,train,10363,@laura221b I've left it for my dad to deal with 😂 My work is done as soon as it's felt the wrath of my slipper 😷,1
anger,0.25,train,10780,@leener00 @libbyfloyd1 @G_Eazy my snap is andriaprebles ❤️,1
anger,0.75,train,10024,"@LeKingCoq @MistaAggy @GiovanniiDC The way my blood is boiling, little bastards!",1
anger,0.55,train,10252,@lemonlover666 'shit' doesn't even begin to describe these fiery little demons straight from hell 🌝🌚 ;),1
anger,0.45,train,10475,"@len_snart gives a frustrated growl, before stepping closer and putting his gun through the barrier. No alarms and nothing happened. He-",1
anger,0.25,train,10795,"@Lesdoggg take me with you!! JK. Have fun, relax, get a massage or two and chill. Don't eat the cucumbers, most places frown on that.",1
anger,0.55,train,10242,@lesyoung01 a rabid dog being ridden by the child who has eaten all the flesh off one fellow and the limbs of the other adults.,1
anger,0.30,train,10727,@lethargytyler ehhh I guess. I want to everyone I've ever burst out laughing in front of😂,1
anger,0.55,train,10272,"@Lexual__ @jdspielman10 RIP to the 100s of black men,, women,CHILDREN killed in Chicago. Where is the outrage?",1
anger,0.60,train,10231,@LickMeLucas ...I'm waiting for you to figure out I'm like... from 0 to 100 real quick with the irritation.,1
anger,0.30,train,10696,@LonelyGoomba I wouldn't bring this up if I were you. It's a very touchy subject. And people get way to offended these days,1
anger,0.45,train,10511,"@LouisFil just curious as to what you mean. No rush, no animosity, no disdain.",1
anger,0.45,train,10433,"@lydss_xx @tharealversace @fatbellybella fuckin luv incense, this is me as fuck 😂",1
anger,0.55,train,10294,"@LynneGarrison yeah, I've only seen that floated online as a theory, it was probably made up by a bitter stan. I ignore pets v vets crap too",1
anger,0.35,train,10685,"@lyskoi anyway, I found a short scale today that was perfect for my purposes. soft on the hands, won't aggravate my (now-chronic) tendonitis",1
anger,0.45,train,10468,"@m_t_f_72 I'm not surprised, I would be fuming! 😤",1
anger,0.50,train,10365,@m_warner21 Yikes. The wrath of Maddie...,1
anger,0.60,train,10157,@mandyjohnson I'll be honest.. I hope that annoying Southern bint with the 'look at me' pout goes out this week! Selasi #FTW,1
anger,0.45,train,10217,@MannyM83 @DareToReagan oh yeah. I HATE the air raid and I don't like the Oregon/Baylor offense and I'm not a fan of the ole miss one either,1
anger,0.35,train,10704,"@MeghanEMurphy Oh gosh, if you get 800+ raging comments from cruise fans, I will just die laughing!",1
anger,0.45,train,10459,@MetPoliceFC is it true none of your players are cops? Do they drink chilled bitter? Are your players Walter Mitty types? @KeviboyAllen,1
anger,0.30,train,10756,@MetsProspectHub @brianpmangan taking offense to acount...he ranks 32 of 36 over last 2 years by SABR,1
anger,0.15,train,10746,"@MHChat sadness with resentment is the past, sadness with fear is the future. try to live in the now #MHchat",1
anger,0.75,train,10070,@mjmralph then it's poor packaging my Amazon and the fulfilled seller should be furious as much as you 😕,1
anger,0.40,train,10574,"@MMASOCCERFAN @outmagazine No offense but the only way this makes sense is if you work for the magazine. Otherwise,who are you apologizing 4",1
anger,0.55,train,10074,@Ms_HeartAttack holy shit it just a bee sting like fuck you're not dying,1
anger,0.15,train,10830,@Ms_HeartAttack peanut butter takes away the sting,1
anger,0.80,train,10096,"@NeoFundie @fitchest Ha. Right. I'm from San Jose, CA, and I was offended right there with you. Dave, go on a walk or something next time.",1
anger,0.25,train,10786,@NessaMatthews he's perfect. But not even in that way where you sort of resent him or suspect that he leads a double life. Just perfect.,1
anger,0.50,train,10366,@Nigerianscamsss @TrillSmith you think I came back to twitter and not ruffle a few bushes? Tuh.,1
anger,0.50,train,10320,"@NM_NickNocturne Incentivise people to roam the Internet being morally offended, as if they didn't do it enough already.",1
anger,0.35,train,10701,@notquitefrodo @dominictarason I remember TAs in the gamedev program said he had temper tantrums in class all the time lol,1
anger,0.55,train,10270,@nytopinion  The point of voting for Trump to push all the pieces off the board game like an angry toddler? Wreck everything for everybody?,1
anger,0.60,train,10156,@oreillyfactor why dont #blm #thugs want #justice when its black on black #gang crime? They only #rage and cry #racism when its a #cop,1
anger,0.70,train,10102,@oscar_perria a multimillionaire spoiled brat who gets In a self righteous huff bc his friend is Muslim is a non starter bye!,1
anger,0.35,train,10606,"@ParrishWalton @kjmgolf Also, our best assets on offense are our RB's and our WR's (longterm). Have to have an offense to utilize both.",1
anger,0.40,train,10548,@PatriotsInform I don't see why you think we'll have a dumbed down simplified offense with Brissett. He comes from a very complicated system,1
anger,0.50,train,10401,@PatVPeters @FreeBeacon Quite the response of retaliation from Weiner in getting revenge on Huma &amp; Hillary 'clam digging'.\n#AllScumbags,1
anger,0.50,train,10340,@paulkrugman relentless echo chamber - negative comments with lots of reverb. Typical bully behavior.,1
anger,0.25,train,10788,@pbump @AndyRichter  My heart goes out to that woman for the indignity of what she is sitting through.,1
anger,0.35,train,10680,"@PerfectQuartz She's jogging a bit to stay beside her, puffing her cheeks with a huff each time. 'Oh-- jeez Jasper, why don't you —",1
anger,0.30,train,10751,@pianimadi regarde tes snap,1
anger,0.70,train,10099,@politico @realDonaldTrump another angry white man!,1
anger,0.45,train,10506,@PrincessCasGirl @DaddyEllis__ tiff you better hurry cause 👀,1
anger,0.35,train,10667,"@pugglelover3691 some of those haters are just taught hate and not shown love. There is a good quote that goes to your comment tiff, treat",1
anger,0.50,train,10355,@PuseLepuru it's the irritation of not having found the corpse,1
anger,0.35,train,10655,"@rabpeel snap, seems to be a problem here",1
anger,0.45,train,10429,@realDonaldTrump: No sense in taking out your wrath on innocent people because you think police shot an innocent man. #MakeAmericaSafeAgain,1
anger,0.30,train,10745,@RealJeffsdomain Wolfpack theme and trons and sting wore the wolf shirt,1
anger,0.25,train,10596,"@RealPaulWalker R.I.P Paul, furious 8 can't wait",1
anger,0.40,train,10555,@RegalisAzura \ngrasp the cobalt woman's own; which they did fairly easily. Fair cheeks would ignite into a fiery hue. Warm.. was the only,1
anger,0.35,train,10681,"@RichardHBell Yes, I think he held a grudge ...",1
anger,0.35,train,10608,@RiotzXVl papercuts sting and stub ur toe last for like 10 secs,1
anger,0.35,train,10708,@RLH2606 if u know who died.. I would also burst out crying....\nFrom JOY!!! 😉,1
anger,0.60,train,10152,@RobertTaitWHU against Chelsea anything is possible haha. I'm fuming about that bet 🙄🙄🙄🙄🙄🙄,1
anger,0.60,train,10186,@RonMexico760 The guy who calls people 'cuck' and is anti-BLM is offended by idea that he might not be pro-policing reform? That's amazing.,1
anger,0.50,train,10409,@RoyEnglish roy as fiery,1
anger,0.75,train,10038,@rtrn94 Mine is that the party did decide but the party has been slowly transformed into a vengeful hell-cult of white male resentment,1
anger,0.35,train,10616,@rumanaa_r @DaiIyRoasts what did I do to offend you? 🙄😭😂,1
anger,0.55,train,10259,@saclivin @MrsCagg specific &amp; intentional way. And part of that intention is to provoke conversation around systemic racism towards blacks.,1
anger,0.40,train,10568,"@SageHillfarms @HintonAlisa @hb_heather Hey, Jayme! Were your👂👂 burning cuz I was talking about you?😁 Are you going tomorrow?",1
anger,0.50,train,10333,"@SapientSoldier timid but determined version of the rabid beasts beyond the land. Growling beneath my restrained breath, I //rip// myself --",1
anger,0.45,train,10432,"@sarah_urbina why do you even beef Sara you let the anger get the best of you, you and Sagin been friends for how long?",1
anger,0.35,train,10622,@SarahMi40605180 @kaileighhxo sorry to burst the bubble but there was never any illusion 🙈😂😂,1
anger,0.40,train,10563,"@Sargon_of_Akkad It'll be like burning rap albums; they'll have to buy it first, but gosh darn it, they have to get rid of it.",1
anger,0.65,train,10177,"@sebbyD27850 both are nonsensical. If there's injustice against blacks, why add to it by destroying black property. It's misdirected anger",1
anger,0.30,train,10718,"@ShieldsCap &lt; Steve between his feet, feeling a blush sting his cheeks. 'I can undress myself, thank you very much,' he snapped &gt;",1
anger,0.25,train,10782,@shopgreenwich #ldf16 what shall we do this weekend?  #spraypainting in #greenwichmarket with @SNUB23 #core246 #lilylou #fret &amp; #benoakley,1
anger,0.45,train,10457,@simon_penn_r @AntisocialJW2 has turned into a rather fiery GG radical),1
anger,0.50,train,10384,"@SiobhanSynnot  Oh, good God. Quentin Letts is doing one of his 'comedy' turns. #angry @bbcthisweek @afneil #BBCTW",1
anger,0.35,train,10653,"@sippycoups if it hurts too much to eat, i read somewhere that marshmallows are good bc they are soft and don't irritate",1
anger,0.40,train,10577,@skinkev let's rage,1
anger,0.55,train,10295,"@SkyNews when the East wind blue in summer in Durban, S Africa, we still surfed and got #stung badly! Must be carefull-A #sting can harm you",1
anger,0.40,train,10565,@SlaveGuinevere its more of a little prick than a sting .......... but you have to come to Tennessee to get it1,1
anger,0.60,train,10161,"@Slippus @PureGym  yeah I received a fine today which I am furious about, currently appealing it after being a member for so long...",1
anger,0.60,train,10171,@snowangel415 @cjwalters66 Maybe also being attacked by Tom's rabid fans to whom he &amp; his clothes were always perfect also put me off him...,1
anger,0.35,train,10678,"@SonOfTheDovah *She could sense the anger stirring within him and took his hand in hers.* As long as we stay together, we'll both be safe.--",1
anger,0.40,train,10542,@Sophiejulia @CalebAtChipotle @calebpressleyxo relentless pipe thirst #sheltered,1
anger,0.65,train,10132,@soyoprincess they irritate me. Them and their inch thick made up masks,1
anger,0.35,train,10632,@St8edge4life88 eh well i can do the sting vs cactus loser leaves wcw match at bash at the beach lol,1
anger,0.35,train,10615,@StarFlowerz17 @DreamerAbe #bitter. Nicole and Cory is why she was evicted.,1
anger,0.55,train,10265,@StarklyDark 'I know you trusted me.' His words were soft as he ignored the anger and focused on the hurt beneath. 'I know I screwed up.' --,1
anger,0.35,train,10670,@stoozyboy1 @chris_sutton73 😂😂 Oh the zombie rage 😂,1
anger,0.45,train,10516,@StrongestBeing ←would furrow and her face would redden as she protests; it would seem that being seen as unattractive in Wukong's eyes was→,1
anger,0.30,train,10738,@StutteringGiant at least his character in fast and furious pumped some adrenaline into the franchise. But that's about it,1
anger,0.75,train,10037,@SunandBeachBum 'you people' infuriate me!,1
anger,0.60,train,10188,"@SusanHensThe shameful display I watched today has left me reeling with so much anger dt I feel like exploding, those clowns should watch it",1
anger,0.45,train,10332,@swagalini ive been through the denial and anger i am in pure acceptance,1
anger,0.40,train,10561,@talkRobyn oh dear I have to watch this the woman with the pout did well,1
anger,0.40,train,10513,"@tamriiel I was talking about further in the expansion, with more gear - fury always does well towards the end",1
anger,0.55,train,10292,@TaraSetmayer @oliverdarcy AA have the right of passage when it comes to the 'N' word.  Why should he insult him in his church.  Ignorant!,1
anger,0.40,train,10573,@TDsNation I blame how broken madden is this year,1
anger,0.30,train,10724,@TDsNation i watch all your videos but i like madden better!,1
anger,0.85,train,10008,"@TeamShanny legit why i am so furious with him, people are such fucking idiots.",1
anger,0.35,train,10645,@TehShockwave turn that grumpy frown upside-down\n\nYou did something next to impossible today,1
anger,0.40,train,10512,@thatomahapa the best revenge is to get yourself a good woman and move on. Leave her and her hairline to figure themselves out alone,1
anger,0.30,train,10758,@The_Boxing_Hub #klitschko @Klitschko over fury any day #boxing,1
anger,0.35,train,10700,@The_Nasty_P now you gotta do that with fast n furious,1
anger,0.50,train,10339,@Thebeast_ufc what happened to the suicide tweet it was a joke obviously how could that offend anyone?🤔,1
anger,0.40,train,10540,"@thedrepabon BLM was outraged by the shooting in NC the other day, turns out the guy pointed gun at police. Wait for facts before outrage",1
anger,0.40,train,10595,@TheDTSB @trubble1127 @nflnetwork I agree but our offense was ass after the second half td score on the first drive,1
anger,0.55,train,10243,@TheOneSoleShoe that is one thing but attacking and hating is worse - that makes us just like the angry vengeful behavior we detest,1
anger,0.40,train,10576,"@ticcikasie1 With a frown, she let's out a distraught 'Gardevoir' saying that she wishes she had a trainer",1
anger,0.50,train,10351,@TillTheEndMMVI I accidetly dumped boiling water my myself 😫,1
anger,0.65,train,10149,@tmz @HarveyLevinTMZ   Hell hath no fury like a women scorned.    It's the affair.  Not the parenting,1
anger,0.35,train,10628,"@ToddDoug @Ziggomattic Yeah, this actually supports why I tweeted in this thread initially. Because of the article's righteous indignation.",1
anger,0.45,train,10445,@trendykittykat Some people would rather hang on to their indignant anger. *weary sigh*,1
anger,0.50,train,10385,@Trump_Videos she looks completely #rabid @realDonaldTrump,1
anger,0.50,train,10335,@TzumiXIV huff puff,1
anger,0.45,train,10501,"@UltimateBoxer My heart because you left me for so long again\n\n*slight pout but it turned to a smile*\n\nheheh just kidding, no I'm fine-",1
anger,0.60,train,10240,"@UnitedFrontRev @JuanDeznuts @LucidHurricane_ sex offense happens across ALL races, cultures, and creeds &amp; they should be castrated",1
anger,0.35,train,10607,@UnknownAndYoung — a low growl escaping him. Oh oh.,1
anger,0.55,train,10173,"@VanDashNessa @taotao_salupa5 Nobody in that street burning and looting and terrifying innocent citizens was there, either.",1
anger,0.45,train,10539,@vladfucker69 i look rabid,1
anger,0.45,train,10428,"@voguemagazine, did you not learn from @FreePeople 's viral insult to ballet? Stop trying to wrongfully stick models into pointe shoes 🙄",1
anger,0.35,train,10633,@warFarePower dip it in boiling water,1
anger,0.65,train,10144,@WatcherDev @WarcraftDevs put so much artefact points into fury and cant raid... literally wasted 1 month of my life! Thanks blizzard,1
anger,0.40,train,10581,"@WBIRSports They're still using his offense, up the middle 3X &amp; punt.",1
anger,0.35,train,10672,@wcsportscamp I lol'ed.  Privileged exasperation should be bottled and sold.,1
anger,0.20,train,10812,@wesrucker247 sounds like a good game plan for our offense....,1
anger,0.45,train,10546,@WestonKoury so leafy can roast the Pokemon go kid but not you what an outrage that just means that he is more relevant than y-I mean kisses,1
anger,0.60,train,10220,"@Will_0004 No justification for shooting without provocation, even if the person has a bad history. Justification is not the way to go",1
anger,0.60,train,10193,@winksahoy we about to get shit on by the wrath of winter out of nowhere,1
anger,0.65,train,10119,@XemitSellsMagic add tracking but resent them,1
anger,0.60,train,10232,@xxmariab listen yh don't provoke me cos I'll make you cry,1
anger,0.55,train,10291,#Anger or #wrath is an intense emotional response.,1
anger,0.30,train,10744,#Awareness seek #shelter .#Letgo Old #habit of chasing #desires resultin in #anger #fear #worry .#Choose #Satisfaction within #Peace #Relax,1
anger,0.35,train,10656,#burning the last of @Yan,1
anger,0.50,train,10350,#disgracefulesin I resent all men in some way; for some or no reason at all. #esinscountdown,1
anger,0.50,train,10387,"#EpiPen: when public outrage occurs, expand #PAP Patient Assistance Progrm, coupons,rebates .@GOPoversight @OversightDems on #Mylan #Epipen",1
anger,0.50,train,10368,#Hudcomedy #AdamRowe  #insult Slutfaceshlongnugget,1
anger,0.50,train,10420,#india will take #revenge  by making 3 new movies like #phantom and they will be like #ghus_k_maren_ge this is how indian army take revenge,1
